PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan,Induction_Power:
53.78,45.71,270.31,24,190,0.34,0,
53.94,45.89,277.48,24,190,0.34,0,
54.13,46.35,284.8,24,190,0.36,0,
54.35,46.48,319.63,24,190,0.36,0,
54.85,46.58,327.8,24,190,0.37,0,
55.07,46.75,323.7,24,190,0.35,0,
55.24,47.05,340.35,24,189,0.35,0,
55.52,47.43,315.61,24,190,0.36,0,
55.98,47.4,384.85,24,190,0.35,0,
56,47.71,1021.05,24,190,0.37,0,
56.44,48.32,389.53,24,190,0.34,0,
56.6,48.35,418.52,24,190,0.35,0,
57.02,48.35,428.53,24,190,0.36,0,
57.34,48.75,451.71,24,190,0.33,0,
57.41,48.95,467.67,24,190,0.34,0,
57.86,48.95,503.69,24,190,0.37,0,
58.07,49.28,532.76,25,190,0.35,0,
58.49,49.77,544.72,25,190,0.36,0,
58.9,50.14,588.15,25,190,0.36,0,
58.68,50.19,594.55,25,190,0.33,0,
59.16,50.27,696.8,25,190,0.36,0,
59.67,50.7,575.49,25,190,0.35,0,
60,50.55,594.55,25,190,0.35,0,
60.2,50.97,668.38,25,190,0.36,0,
60.5,51.07,711.33,25,190,0.35,0,
60.89,51.33,763.91,25,189,0.37,0,
61.2,51.48,787.27,25,190,0.36,0,
61.44,51.64,787.27,25,190,0.35,0,
61.76,51.81,823.27,25,190,0.35,0,
61.95,52.08,852.07,25,189,0.38,0,
62.36,52.2,877.32,25,189,0.34,0,
62.75,52.5,947.26,25,190,0.35,0,
63,52.5,1093.84,25,190,0.37,0,
63.37,52.81,1149.49,25,190,0.36,0,
63.6,52.95,1064.3,25,190,0.36,0,
64.3,52.99,1040.12,26,190,0.36,0,
64.78,53.41,1233.94,26,190,0.34,0,
65.26,53.61,1266.7,26,190,0.37,0,
65.45,53.7,1283.31,26,190,0.36,0,
65.95,53.87,1368.63,26,190,0.36,0,
66.61,54.05,1403.84,26,190,0.37,0,
67.06,54.35,1488.44,26,190,0.34,0,
67.35,54.18,1476.15,26,190,0.35,0,
67.48,54.52,1668.19,26,190,0.35,0,
68.01,54.87,1763.47,26,190,0.36,0,
68.54,55.04,1756.54,26,190,0.36,0,
69.02,55.17,1826.68,26,190,0.36,0,
69.53,55.35,1876.91,26,190,0.35,0,
69.81,55.59,1906.04,26,190,0.35,0,
70.26,55.91,1987.74,26,190,0.36,0,
70.93,55.74,2071.84,26,190,0.38,0,
71.44,56.33,2087.39,26,190,0.37,0,
71.44,56.33,2198.49,26,190,0.35,0,
72.53,56.66,1848.09,27,190,0.37,0,
73.01,56.95,2381.2,27,190,0.36,0,
73.01,57.02,2432.78,27,190,0.36,0,
73.53,57.07,2432.78,27,190,0.37,0,
74.73,57.41,2815.53,27,190,0.37,0,
75.31,57.84,2971.58,27,190,0.35,0,
75.89,57.56,3174.82,27,190,0.35,0,
76.39,57.84,3409.14,27,190,0.35,0,
76.47,58.21,3700.94,27,190,0.35,0,
77.49,58.87,3805.79,27,190,0.37,0,
77.73,58.97,4157.36,27,190,0.35,0,
78.6,59.18,4451.42,27,190,0.35,0,
79.2,59.62,4691.19,27,190,0.38,0,
79.92,60,5124.4,27,190,0.38,0,
80.49,60.27,5477.85,27,190,0.37,0,
81.14,60.89,4543.65,27,190,0.37,0,
81.87,61.33,5942.43,27,190,0.38,0,
81.83,61.71,6399.46,27,190,0.37,0,
83.14,61.82,6879.68,28,190,0.35,0,
83.8,63.03,7291.92,27,190,0.36,0,
83.68,63.17,7835.07,28,190,0.36,0,
84.71,63.66,8126.44,28,190,0.37,0,
85.12,64.36,8546.51,28,190,0.36,0,
85.33,64.78,9214.4,28,190,0.37,0,
85.99,65.23,9849.29,28,190,0.37,0,
86.2,65.85,10606.86,28,190,0.38,0,
86.78,66.58,10939.77,28,190,0.36,0,
87.15,67.12,11726.96,28,190,0.36,0,
87.81,67.61,12031.71,28,190,0.35,0,
87.89,68.41,12683.63,28,190,0.34,0,
88.23,69.09,12870.33,28,190,0.35,0,
89.13,70.12,14114.88,28,190,0.36,0,
89.22,70.69,13085.96,28,190,0.36,0,
89.88,71.26,14257.96,28,190,0.36,0,
90.29,71.76,14899.1,28,190,0.36,0,
90.58,72.12,15256.84,28,190,0.36,0,
90.91,73.45,15742.74,28,190,0.36,0,
91.11,74.24,16051.64,28,190,0.36,0,
91.52,74.89,16396.11,28,190,0.36,0,
91.72,75.65,18193.11,28,190,0.34,0,
91.93,76.66,17132.34,28,190,0.37,0,
92.42,77.84,17426.37,28,190,0.35,0,
92.58,78.48,18430.88,29,190,0.36,0,
93.23,78.48,18843.33,29,190,0.36,0,
93.03,80.13,19297.09,29,190,0.35,0,
93.72,79.96,19651.08,29,190,0.37,0,
94.12,80.69,20445.15,29,190,0.38,0,
94.24,82.36,20739.15,29,190,0.37,0,
94.44,83.1,19973.38,29,190,0.37,0,
94.77,83.76,21411,29,190,0.34,0,
94.93,84.34,20518.38,29,190,0.36,0,
94.6,83.72,21981.9,29,190,0.36,0,
95.49,85.49,21335.64,29,190,0.37,0,
95.64,85.78,22329.3,29,190,0.35,0,
95.68,86.32,21866.91,29,190,0.36,0,
95.84,86.49,24039.94,29,190,0.35,0,
95.8,86.98,24408.76,29,190,0.36,0,
96.28,87.65,24244.38,29,189,0.34,0,
96.44,87.89,25073.77,29,189,0.35,0,
96.83,88.27,25157.74,29,190,0.35,0,
96.91,88.56,25665.52,29,189,0.36,0,
96.99,88.72,26223.32,29,190,0.36,0,
97.15,88.97,25665.52,29,191,0.37,0,
97.27,89.22,26701.61,30,190,0.36,0,
97.5,89.55,27053.09,30,190,0.36,0,
97.54,89.96,20445.15,30,191,0.37,0,
97.77,90.25,27675.64,30,191,0.37,0,
98.09,90.45,28307.71,30,191,0.37,0,
98.16,90.7,27765.35,30,191,0.35,0,
98.32,90.95,27900.28,30,191,0.36,0,
98.32,91.19,28581.53,30,191,0.35,0,
98.55,91.19,28673.19,30,191,0.35,0,
98.63,91.23,28490.06,30,191,0.35,0,
98.75,91.36,29227.33,30,191,0.35,0,
98.82,91.68,29320.38,30,191,0.36,0,
98.9,91.6,29507.07,30,191,0.36,0,
98.98,91.77,29882.83,30,191,0.37,0,
99.02,92.26,29694.55,30,191,0.35,0,
98.86,92.34,30024.57,30,191,0.36,0,
99.32,92.58,28949.37,31,191,0.37,0,
99.36,92.58,29882.83,30,191,0.34,0,
99.51,92.99,29930.03,31,191,0.37,0,
99.25,93.03,30932.7,31,191,0.36,0,
99.63,92.5,32254.57,31,191,0.35,0,
99.4,93.15,31077.75,31,191,0.37,0,
99.55,93.31,31223.25,31,191,0.36,0,
99.4,93.23,31029.35,31,191,0.37,0,
99.78,93.48,30548.12,31,191,0.36,0,
99.78,93.64,31223.25,31,191,0.37,0,
99.86,93.48,30884.45,31,191,0.35,0,
99.82,93.48,31223.25,31,191,0.36,0,
99.63,93.48,30643.96,31,191,0.35,0,
100.16,93.48,31417.96,31,191,0.36,0,
100.16,93.96,31223.25,31,191,0.36,0,
100.09,94.2,30740,31,191,0.37,0,
99.86,94.2,31662.49,31,191,0.36,0,
100.16,93.64,32304.24,31,191,0.35,0,
100.16,94.2,31320.51,31,191,0.36,0,
100.43,94.48,33308.46,31,191,0.38,0,
100.62,93.8,31809.82,32,191,0.38,0,
99.93,94.28,32105.87,31,191,0.38,0,
100.24,94.56,32703.46,31,191,0.37,0,
100.09,94.48,32904.3,31,191,0.35,0,
100.62,94.6,26483.49,32,191,0.37,0,
100.16,93.6,32105.87,32,191,0.37,0,
100.46,94.85,31369.21,32,191,0.37,0,
100.16,94.6,32854.01,32,191,0.37,0,
100.77,94.28,32503.44,32,191,0.36,0,
100.8,94.4,32703.46,32,191,0.36,0,
100.62,94.93,31809.82,32,191,0.38,0,
100.62,95.09,32803.77,32,191,0.36,0,
100.99,95.17,32803.77,32,191,0.37,0,
100.24,94.44,33105.97,32,191,0.37,0,
100.65,95.09,32254.57,32,191,0.37,0,
100.99,94.44,33005.04,32,191,0.38,0,
100.99,94.77,32904.3,32,191,0.37,0,
100.99,94.81,33005.04,32,191,0.36,0,
100.95,95.01,32703.46,32,191,0.36,0,
100.8,95.09,32304.24,32,191,0.35,0,
100.77,95.17,32904.3,32,191,0.35,0,
